paralelo	vertex		serial	vertex
0,08	50		0,331	50
0,079	50		0,331	50
0,081	50		0,33	50
0,08	50		0,33	50
0,08	50		0,33	50
0,078	50		0,33	50
0,078	50		0,329	50
0,081	50		0,327	50
0,078	50		0,329	50
0,079	50		0,332	50
0,853	100		4,123	100
0,846	100		4,126	100
0,848	100		4,123	100
0,85	100		4,123	100
0,846	100		4,115	100
0,854	100		4,127	100
0,846	100		4,119	100
0,849	100		4,115	100
0,847	100		4,114	100
0,849	100		4,116	100
3,812	150		18,882	150
3,81	150		18,881	150
3,801	150		18,876	150
3,805	150		18,869	150
3,806	150		18,866	150
3,8	150		18,862	150
3,809	150		18,862	150
3,806	150		18,878	150
3,813	150		18,872	150
3,816	150		18,854	150
11,166	200		55,536	200
11,116	200		55,571	200
11,212	200		55,564	200
11,163	200		55,676	200
11,147	200		55,563	200
11,158	200		55,536	200
11,159	200		55,547	200
11,156	200		55,667	200
11.144	200		55,540	200
11,17	200		55,481	200
